australian_appl_no,patent_status_type,examination_section_name,invention_description
1962018599,,,AERATING NOZZLE
1975086712,,,METHOD FOR MAKING GLASS
1976019636,,,SAFETY SUITCASE
1977029773,EXPIRED,,Semiconductor circuit
2003252584,GRANTED,,Protective element for a breakwater or wave-retarding construction
2003253837,GRANTED,MECH 1 - Mechanical Engineering,Producing metallic articles by reduction of nonmetallic precursor compounds and melting
2003273724,LAPSED,,Safety binary line crossing system which can be reconfigured in order to provide safe routes over a wider range of inclinations
2003296027,CEASED,ELEC 1 - Physics,"Electro-optical transducer and jelly layer therefor, method for producing a jelly layer and a compound for carrying out said method"
2003303556,LAPSED,,Method for making fire-retarded glass-filled polycarbonate and related compositions
2003303763,LAPSED,MECH 1 - Mechanical Engineering,"Blast attenuating, blast-directing and extinguishing apparatus"
2004215125,GRANTED,"Vacant - A1 PBR, Plants and Biotechnology",Monoclonal antibody production by EBV transformation of B cells
2004225707,GRANTED,MECH 2 - Construction and Mining,Drifting tubing
2004253192,LAPSED,,Herbal composition
2004256472,LAPSED,,A method and system using SMS notification and an internet browser to provide real-time transport information
2004267244,CEASED,MECH 4 - Medical Devices,Method and apparatus for analyzing amniotic fluid
2004272175,LAPSED,MECH 3 - Process Engineering,"Process and reactor for intensified and energy-efficient, biological (waste-)water treatment"
2004274510,LAPSED,MXT - Mixed Technology,Bricklaying string line support and course spacing gauge
2004284111,LAPSED,MECH 3 - Process Engineering,Improved wear resistant alloy
2004287884,GRANTED,,Stabilized alpha helical peptides and uses thereof
2004287891,GRANTED,MECH 2 - Construction and Mining,A material
2004287892,LAPSED,MECH 2 - Construction and Mining,Actuating mechanism
2004288627,LAPSED,,Length adjustable electro-surgical pencil with suction means
2004297292,GRANTED,MECH 3 - Process Engineering,Solar energy collection system
2004299521,LAPSED,,Apparatus for mechanical bricklaying
2004305047,LAPSED,,Method and system for forming a film of material using plasmon assisted chemical reactions
2004305048,LAPSED,,Electromagnetic control of chemical catalysis
2004307733,CEASED,ELEC 3 - Computing,A variable speed power generator having two induction generators on a common shaft
2004311518,GRANTED,MECH 2 - Construction and Mining,A dispensing utensil
2004314224,LAPSED,MECH 1 - Mechanical Engineering,Shock absorbing system for rowing boat oarlock
2004318628,GRANTED,ELEC 1 - Physics,Decoupler
